post_id,post_type,likes,shares,comments
1,static_image,164,17,389
2,reels,300,119,81
3,static_image,154,284,54
4,static_image,482,21,25
5,carousel,273,124,268
6,static_image,77,292,111
7,static_image,715,284,224
8,carousel,509,147,424
9,carousel,827,86,367
10,reels,398,147,89
11,carousel,831,177,62
12,carousel,439,54,193
13,reels,668,140,423
14,carousel,797,240,284
15,carousel,994,198,50
16,static_image,350,190,305
17,carousel,771,40,33
18,static_image,283,153,50
19,carousel,937,56,204
20,reels,514,191,93
21,reels,413,112,353
22,reels,768,41,321
23,static_image,225,278,383
24,carousel,217,241,204
25,reels,997,290,122
26,static_image,382,33,127
27,carousel,874,166,215
28,reels,117,113,477
29,static_image,947,166,118
30,static_image,561,207,462
31,static_image,519,78,145
32,carousel,302,292,285
33,reels,814,224,469
34,static_image,458,190,122
35,carousel,571,257,56
36,carousel,931,61,88
37,static_image,213,221,315
38,carousel,444,200,315
39,reels,591,133,293
40,carousel,746,63,359
41,static_image,818,141,403
42,static_image,398,62,160
43,reels,211,237,11
44,static_image,946,139,266
45,carousel,569,59,455
46,static_image,355,264,321
47,carousel,206,196,400
48,carousel,602,276,480
49,carousel,663,170,260
50,carousel,164,190,459
51,reels,295,34,133
52,static_image,130,48,384
53,reels,885,40,399
54,static_image,834,69,75
55,static_image,536,286,94
56,reels,590,221,118
57,static_image,823,107,375
58,reels,458,196,234
59,static_image,512,66,136
60,carousel,115,178,20
61,static_image,617,122,311
62,carousel,57,41,372
63,static_image,110,122,44
64,carousel,930,174,46
65,static_image,293,147,352
66,reels,269,281,77
67,static_image,953,297,305
68,reels,298,247,423
69,reels,244,53,59
70,static_image,491,186,226
71,reels,528,32,354
72,static_image,711,55,41
73,reels,795,178,419
74,carousel,304,103,107
75,static_image,509,76,226
76,carousel,335,241,137
77,carousel,503,286,60
78,carousel,717,281,438
79,carousel,145,126,95
80,reels,547,251,119
81,reels,974,35,94
82,reels,52,204,145
83,reels,342,221,366
84,static_image,852,289,348
85,static_image,548,84,107
86,reels,272,34,306
87,static_image,605,36,392
88,reels,108,30,309
89,reels,564,276,90
90,carousel,570,46,445
91,carousel,120,39,355
92,carousel,463,66,492
93,static_image,302,25,327
94,carousel,479,294,277
95,reels,317,109,352
96,static_image,371,127,145
97,reels,184,158,244
98,reels,819,42,14
99,reels,686,293,61
100,carousel,600,114,269
101,reels,185,183,461
102,carousel,950,130,199
103,reels,211,229,436
104,static_image,770,159,323
105,static_image,591,9,351
106,static_image,356,58,490
107,carousel,320,64,465
108,carousel,810,288,89
109,reels,338,112,377
110,reels,258,140,268
111,reels,307,31,57
112,static_image,483,146,32
113,carousel,391,71,336
114,reels,215,231,292
115,static_image,487,292,14
116,carousel,127,81,289
117,carousel,904,194,308
118,static_image,201,225,75
119,carousel,365,191,470
120,carousel,970,188,117
121,static_image,305,57,191
122,static_image,955,213,327
123,static_image,208,126,452
124,carousel,869,95,461
125,reels,75,96,387
126,reels,851,215,420
127,static_image,934,132,146
128,carousel,856,60,205
129,carousel,929,245,123
130,carousel,886,240,189
131,reels,890,121,124
132,carousel,725,103,214
133,reels,335,40,405
134,reels,409,265,214
135,static_image,913,279,179
136,carousel,168,138,101
137,static_image,321,24,65
138,static_image,494,181,383
139,reels,496,266,69
140,reels,971,300,107
141,reels,95,228,10
142,static_image,997,280,361
143,static_image,809,105,196
144,reels,121,174,329
145,reels,729,68,378
146,reels,569,163,351
147,reels,384,211,366
148,reels,617,70,108
149,reels,730,199,356
150,static_image,974,94,325
151,static_image,358,212,290
152,carousel,361,151,117
153,reels,854,169,248
154,reels,502,114,271
155,reels,862,91,347
156,carousel,340,268,349
157,static_image,684,176,57
158,carousel,738,163,125
159,carousel,200,17,33
160,carousel,536,42,243
161,reels,957,299,109
162,static_image,763,201,263
163,reels,299,80,345
164,static_image,55,59,408
165,reels,274,95,421
166,static_image,580,242,35
167,static_image,305,67,243
168,carousel,870,242,351
169,static_image,622,167,496
170,reels,677,263,228
171,static_image,506,86,390
172,reels,510,137,394
173,carousel,910,146,402
174,static_image,546,127,150
175,reels,129,151,130
176,reels,393,168,467
177,static_image,132,75,87
178,carousel,442,83,371
179,carousel,115,217,218
180,reels,605,243,222
181,carousel,261,220,209
182,static_image,762,15,448
183,static_image,439,249,13
184,reels,355,204,446
185,reels,601,284,419
186,static_image,969,117,259
187,carousel,329,228,258
188,carousel,448,177,352
189,static_image,867,212,380
190,carousel,910,244,480
191,carousel,687,278,23
192,reels,656,293,349
193,carousel,135,224,79
194,reels,236,30,143
195,reels,385,113,242
196,reels,395,199,152
197,reels,308,46,250
198,carousel,817,281,36
199,reels,279,40,409
200,static_image,91,20,496
201,carousel,254,15,328
202,carousel,294,69,252
203,static_image,167,293,495
204,carousel,526,136,402
205,reels,221,63,408
206,carousel,368,60,306
207,carousel,369,299,356
